warehouse_id,warehouse_name,city,state,warehouse_type,capacity,internal_note
1230,WH-01230,Denver,Colorado,Regional DC,50434,INT-WGHXQGJ
1231,WH-01231,Portland,Oregon,Regional DC,81453,INT-MLU67ZO
1232,WH-01232,Seattle,Washington,Distribution Center,29458,INT-SJ7KBRQ
1233,WH-01233,Seattle,Washington,Cross Dock,88062,INT-83PCY63
1234,WH-01234,Seattle,Washington,Distribution Center,30999,INT-0XYNGV5
1235,WH-01235,Charlotte,North Carolina,Fulfillment Center,93586,INT-BRD07MK
1236,WH-01236,Detroit,Michigan,Distribution Center,71714,INT-57VYJBX
1237,WH-01237,Chicago,Illinois,Cross Dock,51145,INT-88OLXWO
1238,WH-01238,Houston,Texas,Distribution Center,32907,INT-HOH1ZK7
1239,WH-01239,Austin,Texas,Cross Dock,74011,INT-XAWVOAB
1240,WH-01240,Denver,Colorado,Fulfillment Center,62630,INT-RRHX9MQ
1241,WH-01241,Denver,Colorado,Fulfillment Center,79796,INT-F5KHPQJ
1242,WH-01242,Denver,Colorado,Distribution Center,35686,INT-ATTMH4C
1243,WH-01243,Chicago,Illinois,Fulfillment Center,50223,INT-GTABXKN
1244,WH-01244,Portland,Oregon,Cross Dock,37013,INT-8S1V8FC
1245,WH-01245,Miami,Florida,Distribution Center,29502,INT-9V54I3R
1246,WH-01246,Denver,Colorado,Distribution Center,6215,INT-DEA6MDA
1247,WH-01247,Charlotte,North Carolina,Distribution Center,35469,INT-OG8847R
1248,WH-01248,Houston,Texas,Cross Dock,38415,INT-E9602XN
1249,WH-01249,Phoenix,Arizona,Cross Dock,33098,INT-TF1HMZB
1250,WH-01250,Phoenix,Arizona,Distribution Center,28193,INT-DN1YTYZ
1251,WH-01251,Austin,Texas,Distribution Center,58300,INT-LLBKEGB
1252,WH-01252,New York,New York,Regional DC,85770,INT-OL2TS71
1253,WH-01253,Portland,Oregon,Fulfillment Center,8087,INT-TUNOJCN
1254,WH-01254,Austin,Texas,Distribution Center,59382,INT-ZSPO8KV
1255,WH-01255,Houston,Texas,Distribution Center,99650,INT-EY4AI3U
1256,WH-01256,Charlotte,North Carolina,Distribution Center,59961,INT-P68PE8R
1257,WH-01257,Atlanta,Georgia,Cross Dock,63439,INT-LP51EF4
1258,WH-01258,Atlanta,Georgia,Fulfillment Center,28563,INT-B0Z42YQ
1259,WH-01259,Denver,Colorado,Regional DC,68621,INT-M87ZLHS
1260,WH-01260,Dallas,Texas,Distribution Center,83132,INT-WBI29C1
1261,WH-01261,Detroit,Michigan,Cross Dock,22189,INT-K3629HC
1262,WH-01262,Phoenix,Arizona,Cross Dock,45237,INT-K29WHEQ
1263,WH-01263,Atlanta,Georgia,Regional DC,51421,INT-7KWEF77
1264,WH-01264,Charlotte,North Carolina,Fulfillment Center,13368,INT-EEM6MVX
1265,WH-01265,Denver,Colorado,Distribution Center,96844,INT-4WIENKN
1266,WH-01266,Portland,Oregon,Fulfillment Center,82152,INT-6E6JRYP
1267,WH-01267,Denver,Colorado,Distribution Center,99231,INT-FK27UN8
1268,WH-01268,Austin,Texas,Fulfillment Center,61446,INT-6PY6IUQ
1269,WH-01269,Denver,Colorado,Distribution Center,64928,INT-XMBYXSO
1270,WH-01270,Austin,Texas,Cross Dock,34733,INT-1CQHLLZ
1271,WH-01271,Austin,Texas,Fulfillment Center,99605,INT-Q55GZZ9
1272,WH-01272,Detroit,Michigan,Distribution Center,38805,INT-HL8HQQH
1273,WH-01273,Atlanta,Georgia,Distribution Center,64930,INT-VGG6JAE
1274,WH-01274,Detroit,Michigan,Cross Dock,70466,INT-A0F3RSU
1275,WH-01275,Seattle,Washington,Regional DC,16084,INT-LEYWU23
1276,WH-01276,Phoenix,Arizona,Fulfillment Center,58617,INT-8WAWXTV
1277,WH-01277,Dallas,Texas,Distribution Center,5,INT-EO4557K
1278,WH-01278,New York,New York,Fulfillment Center,89670,INT-MO6ZO47
1279,WH-01279,New York,New York,Distribution Center,46665,INT-9LYYK31
1280,WH-01280,New York,New York,Distribution Center,42313,INT-CK5FRN9
1281,WH-01281,Chicago,Illinois,Cross Dock,13768,INT-AL0RORO
1282,WH-01282,Portland,Oregon,Distribution Center,73622,INT-RV6BI46
1283,WH-01283,,Unknown,Regional DC,61427,INT-2LCZ6YE
1284,WH-01284,Houston,Texas,Distribution Center,78544,INT-I47AEIW
1285,WH-01285,Chicago,Illinois,Distribution Center,31356,INT-PJ94W2L
1286,WH-01286,Dallas,Texas,Cross Dock,41619,INT-BEK49K4
1287,WH-01287,Detroit,Michigan,Distribution Center,26402,INT-SMKO3DA
1288,WH-01288,CHICAGO,Unknown,Cross Dock,31067,INT-I4K3HM6
1289,WH-01289,Los Angeles,California,Distribution Center,72563,INT-X4UGBZE
1290,WH-01290,Phoenix,Arizona,Cross Dock,73368,INT-8CHFK5W
1291,WH-01291,Chicago,Illinois,Fulfillment Center,19189,INT-1Z597VL
1292,WH-01292,Houston,Texas,Distribution Center,89962,INT-E311WCV
1293,WH-01293,Seattle,Washington,Distribution Center,70364,INT-VMJJ2X0
1294,WH-01294,Seattle,Washington,Regional DC,9988,INT-FGV1QEG
1295,WH-01295,HOUSTON,Unknown,Regional DC,19915,INT-65A3MB3
1296,WH-01296,Dallas,Texas,Distribution Center,93713,INT-F39QZW9
1297,WH-01297,Atlanta,Georgia,Fulfillment Center,43134,INT-T5N8NUN
1298,WH-01298,Houston,Texas,Distribution Center,61143,INT-X1L2N5X
1299,WH-01299,Miami,Florida,Distribution Center,23080,INT-BHZ5YPS
1300,WH-01300,Dallas,Texas,Regional DC,22185,INT-RK7Y4FW
1301,WH-01301,Austin,Texas,Regional DC,69982,INT-WHNPACU
1302,WH-01302,New York,New York,Cross Dock,32229,INT-THBB1KW
1303,WH-01303,New York,New York,Distribution Center,53837,INT-F3EQVKF
1304,WH-01304,Portland,Oregon,Fulfillment Center,99834,INT-Q5KFFDH
1305,WH-01305,Austin,Texas,Regional DC,73423,INT-INCHPUW
1306,WH-01306,New York,New York,Cross Dock,9136,INT-3ABDX1B
1307,WH-01307,Austin,Texas,Fulfillment Center,28683,INT-YJOWDFQ
1308,WH-01308,,Unknown,Regional DC,40867,INT-LAXJELF
1309,WH-01309,Phoenix,Arizona,Fulfillment Center,17961,INT-0EEAYQQ
1310,WH-01310,Charlotte,North Carolina,Cross Dock,11462,INT-QR581RX
1311,WH-01311,Chicago,Illinois,Regional DC,64272,INT-ENS601P
1312,WH-01312,Portland,Oregon,Distribution Center,30693,INT-Z0766K2
1313,WH-01313,Detroit,Michigan,Distribution Center,10359,INT-0OA66E8
1314,WH-01314,Seattle,Washington,Regional DC,64873,INT-704KOPZ
1315,WH-01315,Atlanta,Georgia,Cross Dock,7711,INT-ZPCW99M
1316,WH-01316,Portland,Oregon,Distribution Center,19122,INT-ESNDW8S
1317,WH-01317,Austin,Texas,Distribution Center,18667,INT-M5VK83C
1318,WH-01318,Charlotte,North Carolina,Regional DC,71045,INT-9GEHTXG
1319,WH-01319,Boston,Massachusetts,Fulfillment Center,74652,INT-QPHJDB1
1320,WH-01320,Chicago,Illinois,Fulfillment Center,21624,INT-QY45QGI
1321,WH-01321,Miami,Florida,Regional DC,7474,INT-BKETQI9
1322,WH-01322,Phoenix,Arizona,Cross Dock,28308,INT-C31E2H3
1323,WH-01323,Denver,Colorado,Distribution Center,40643,INT-8WY25TN
1324,WH-01324,Denver,Colorado,Cross Dock,41362,INT-Y39JNMR
1325,WH-01325,Portland,Oregon,Fulfillment Center,18564,INT-6OTPPO1
1326,WH-01326,Atlanta,Georgia,Distribution Center,62983,INT-WU3ZPCF
1327,WH-01327,Portland,Oregon,Cross Dock,78344,INT-QFWF7CV
1328,WH-01328,Atlanta,Georgia,Distribution Center,65615,INT-L6AE3VP
1329,WH-01329,Miami,Florida,Cross Dock,50026,INT-NEYWA2S
1330,WH-01330,Austin,Texas,Distribution Center,47977,INT-4AAMVD2
1331,WH-01331,Charlotte,North Carolina,Regional DC,56090,INT-023JCEC
1332,WH-01332,New York,New York,Regional DC,12267,INT-P9BE1YG
1333,WH-01333,Austin,Texas,Regional DC,30961,INT-NHZQ289
1334,WH-01334,Charlotte,North Carolina,Cross Dock,13523,INT-FWXDB8F
1335,WH-01335,Los Angeles,California,Cross Dock,45465,INT-H74ATSN
1336,WH-01336,Detroit,Michigan,Cross Dock,10687,INT-QN9ED2V
1337,WH-01337,New York,New York,Regional DC,38645,INT-5A52RBB
1338,WH-01338,Los Angeles,California,Fulfillment Center,40509,INT-RPMHOCY
1339,WH-01339,Denver,Colorado,Regional DC,38552,INT-D0ECZ3I
1340,WH-01340,Seattle,Washington,Regional DC,9492,INT-68AM6LC
1341,WH-01341,Phoenix,Arizona,Distribution Center,34537,INT-L7XGRD2
1342,WH-01342,Los Angeles,California,Distribution Center,96514,INT-CEKC40W
1343,WH-01343,Chicago,Illinois,Regional DC,7695,INT-NLU95O4
1344,WH-01344,Seattle,Washington,Distribution Center,43648,INT-C9N30R3
1345,WH-01345,Charlotte,North Carolina,Regional DC,80746,INT-W4G3T8D
1346,WH-01346,Charlotte,North Carolina,Distribution Center,9168,INT-RIXQOPP
1347,WH-01347,Miami,Florida,Cross Dock,5509,INT-J9IRQR3
1348,WH-01348,Detroit,Michigan,Cross Dock,54831,INT-ET2NXV7
1349,WH-01349,Chicago,Illinois,Distribution Center,5723,INT-EVZOHG0
1350,WH-01350,New York,New York,Cross Dock,47638,INT-52860MT
1351,WH-01351,Phoenix,Arizona,Distribution Center,88116,INT-YUKYNL3
1352,WH-01352,Austin,Texas,Fulfillment Center,97300,INT-JBW2PUJ
1353,WH-01353,Dallas,Texas,Fulfillment Center,80414,INT-DZPNAJ7
1354,WH-01354,Phoenix,Arizona,Regional DC,15895,INT-U7H3BIO
1355,WH-01355,Boston,Massachusetts,Fulfillment Center,38385,INT-6M476FS
1356,WH-01356,Miami,Florida,Regional DC,62864,INT-P4UTIZ3
1357,WH-01357,Los Angeles,California,Fulfillment Center,64763,INT-TQAYU26
1358,WH-01358,Detroit,Michigan,Fulfillment Center,76010,INT-3YPQLK7
1359,WH-01359,Austin,Texas,Distribution Center,32256,INT-W7QSO4M
1360,WH-01360,Boston,Massachusetts,Distribution Center,26645,INT-7B78BCL
1361,WH-01361,Dallas,Texas,Distribution Center,7514,INT-6D6C190
1362,WH-01362,Seattle,Washington,Fulfillment Center,90728,INT-IMGWOWR
1363,WH-01363,Detroit,Michigan,Cross Dock,57361,INT-V9C6E9L
1364,WH-01364,Phoenix,Arizona,Distribution Center,47805,INT-EBLRIOE
1365,WH-01365,Austin,Texas,Distribution Center,32041,INT-LM4I61L
1366,WH-01366,Austin,Texas,Cross Dock,84920,INT-TML60YO
1367,WH-01367,Atlanta,Georgia,Distribution Center,29237,INT-F0ZNLA3
1368,WH-01368,Chicago,Illinois,Cross Dock,94758,INT-M2MHUXK
1369,WH-01369,Seattle,Washington,Fulfillment Center,44567,INT-XNPGP4K
1370,WH-01370,New York,New York,Cross Dock,92466,INT-56PW9YQ
1371,WH-01371,Denver,Colorado,Distribution Center,5,INT-NSAZUSN
1372,WH-01372,Austin,Texas,Distribution Center,27350,INT-Z1ANZW4
1373,WH-01373,Detroit,Michigan,Regional DC,7662,INT-62LPYEE
1374,WH-01374,Seattle,Washington,Regional DC,82131,INT-0L9UROT
1375,WH-01375,New York,New York,Distribution Center,70211,INT-ZLQQ9I8
1376,WH-01376,Dallas,Texas,Fulfillment Center,58983,INT-B9U1ZBH
1377,WH-01377,Denver,Colorado,Regional DC,70156,INT-9S6RUPF
1378,WH-01378,Chicago,Illinois,Fulfillment Center,69925,INT-79GBRV1
1379,WH-01379,Dallas,Texas,Fulfillment Center,13749,INT-3HDWXRX
1380,WH-01380,Portland,Oregon,Distribution Center,75706,INT-CPBWLMN
1381,WH-01381,Miami,Florida,Fulfillment Center,55367,INT-GZ3IXTK
1382,WH-01382,Miami,Florida,Cross Dock,65906,INT-GSTVGFD
1383,WH-01383,Chicago,Illinois,Cross Dock,78047,INT-F6WC25Q
1384,WH-01384,Atlanta,Georgia,Distribution Center,76328,INT-XJF1FSQ
1385,WH-01385,Atlanta,Georgia,Distribution Center,87158,INT-BO49RQ1
1386,WH-01386,Atlanta,Georgia,Regional DC,48467,INT-UKHVQN5
1387,WH-01387,,Unknown,Distribution Center,97600,INT-OHRTCP7
1388,WH-01388,Detroit,Michigan,Distribution Center,56041,INT-33LG0E8
1389,WH-01389,Boston,Massachusetts,Distribution Center,55854,INT-CYJUQV5
1390,WH-01390,Atlanta,Georgia,Fulfillment Center,30802,INT-PF1P3P1
1391,WH-01391,Austin,Texas,Fulfillment Center,7204,INT-GRGGN9T
1392,WH-01392,Austin,Texas,Cross Dock,49938,INT-6ZKPAEU
1393,WH-01393,New York,New York,Cross Dock,32413,INT-2PNML89
1394,WH-01394,Seattle,Washington,Distribution Center,15937,INT-8L5DWW2
1395,WH-01395,Miami,Florida,Fulfillment Center,89128,INT-EXXG1W5
1396,WH-01396,Austin,Texas,Regional DC,24930,INT-2AACDA5
1397,WH-01397,Boston,Massachusetts,Distribution Center,18040,INT-O90XEHG
1398,WH-01398,Phoenix,Arizona,Regional DC,42838,INT-L9QEKJ4
1399,WH-01399,,Unknown,Cross Dock,83965,INT-09XBD9M
1400,WH-01400,Houston,Texas,Regional DC,83924,INT-WRWWXYY
1401,WH-01401,Detroit,Michigan,Fulfillment Center,36370,INT-WPZPI3G
1402,WH-01402,Portland,Oregon,Distribution Center,43146,INT-ZXFXCOY
1403,WH-01403,Phoenix,Arizona,Fulfillment Center,79714,INT-KF4US5H
1404,WH-01404,Atlanta,Georgia,Cross Dock,16424,INT-4OD0CUM
1405,WH-01405,Los Angeles,California,Fulfillment Center,40411,INT-V20VWOZ
1406,WH-01406,Austin,Texas,Regional DC,98402,INT-73780G9
1407,WH-01407,Seattle,Washington,Fulfillment Center,9167,INT-DE5Y1NQ
1408,WH-01408,LOS ANGELES,Unknown,Distribution Center,62225,INT-AZABVB1
1409,WH-01409,Charlotte,North Carolina,Cross Dock,20739,INT-BZCF3CD
1410,WH-01410,Portland,Oregon,Cross Dock,59662,INT-G6X9IOU
1411,WH-01411,Phoenix,Arizona,Regional DC,53211,INT-6LQMN61
1412,WH-01412,Charlotte,North Carolina,Regional DC,95596,INT-VOP1TDM
1413,WH-01413,Austin,Texas,Regional DC,39468,INT-CP47Q8S
1414,WH-01414,Los Angeles,California,Regional DC,80728,INT-5UDO2G8
1415,WH-01415,New York,New York,Distribution Center,99150,INT-0LWDN2H
1416,WH-01416,Detroit,Michigan,Regional DC,59101,INT-39ULDFP
1417,WH-01417,New York,New York,Cross Dock,40138,INT-DV02I9Y
1418,WH-01418,Phoenix,Arizona,Cross Dock,50793,INT-VV51F4H
1419,WH-01419,Detroit,Michigan,Cross Dock,74356,INT-FTM95FQ
1420,WH-01420,Houston,Texas,Fulfillment Center,79366,INT-Q6J3YVY
1421,WH-01421,New York,New York,Regional DC,29199,INT-W5R2A6G
1422,WH-01422,Chicago,Illinois,Fulfillment Center,20505,INT-QWMVCZB
1423,WH-01423,Denver,Colorado,Regional DC,66508,INT-HF01ZIV
1424,WH-01424,Chicago,Illinois,Distribution Center,86455,INT-ZZQVP9E
1425,WH-01425,Atlanta,Georgia,Regional DC,66408,INT-EHU6FR2
1426,WH-01426,Phoenix,Arizona,Regional DC,59201,INT-AFTELVA
1427,WH-01427,Atlanta,Georgia,Regional DC,59243,INT-U8RWS8T
1428,WH-01428,Detroit,Michigan,Distribution Center,79237,INT-VJFAMQ2
1429,WH-01429,Miami,Florida,Cross Dock,45634,INT-EWMJXJ4
1430,WH-01430,,Unknown,Fulfillment Center,12853,INT-HZK0B29
1431,WH-01431,Phoenix,Arizona,Fulfillment Center,30223,INT-8MJMWHM
1432,WH-01432,Boston,Massachusetts,Regional DC,86945,INT-V15XHM2
1433,WH-01433,Denver,Colorado,Cross Dock,15147,INT-VWLOKC3
1434,WH-01434,Portland,Oregon,Fulfillment Center,84373,INT-N1KAHD0
1435,WH-01435,Houston,Texas,Distribution Center,57885,INT-CW6MR95
1436,WH-01436,Los Angeles,California,Cross Dock,66097,INT-8P3DZ33
1437,WH-01437,Austin,Texas,Fulfillment Center,29832,INT-O7SWCHI
1438,WH-01438,Denver,Colorado,Fulfillment Center,40607,INT-CWTZVJ9
1439,WH-01439,Charlotte,North Carolina,Distribution Center,53402,INT-35DZHIA
1440,WH-01440,Dallas,Texas,Cross Dock,65562,INT-PKS8AOV
1441,WH-01441,Seattle,Washington,Regional DC,5000000,INT-SG2MOHL
1442,WH-01442,Denver,Colorado,Cross Dock,90777,INT-2P21UZE
1443,WH-01443,Los Angeles,California,Distribution Center,56277,INT-671MEOB
1444,WH-01444,Denver,Colorado,Cross Dock,17500,INT-BZY4DHD
1445,WH-01445,Seattle,Washington,Regional DC,21527,INT-5K0DPSP
1446,WH-01446,Portland,Oregon,Cross Dock,88317,INT-84CIVKF
1447,WH-01447,Dallas,Texas,Regional DC,78634,INT-TRWIOBM
1448,WH-01448,Phoenix,Arizona,Fulfillment Center,65535,INT-R5OSRU5
1449,WH-01449,Los Angeles,California,Distribution Center,56743,INT-JJ23MYJ
1450,WH-01450,Phoenix,Arizona,Regional DC,7730,INT-MCVFSQP
1451,WH-01451,Atlanta,Georgia,Fulfillment Center,93679,INT-H621EMJ
1452,WH-01452,New York,New York,Regional DC,17671,INT-6DE931Q
1453,WH-01453,New York,New York,Distribution Center,10688,INT-4QAWH2V
1454,WH-01454,,Unknown,Distribution Center,18603,INT-UCKQ9S5
1455,WH-01455,Houston,Texas,Regional DC,46334,INT-WOX0MTU
1456,WH-01456,Charlotte,North Carolina,Distribution Center,33483,INT-8GTF2FK
1457,WH-01457,Atlanta,Georgia,Fulfillment Center,22639,INT-2R0K7XG
1458,WH-01458,Portland,Oregon,Fulfillment Center,10681,INT-R7TF9RZ
1459,WH-01459,Atlanta,Georgia,Distribution Center,94985,INT-W5OBFE5
1460,WH-01460,Atlanta,Georgia,Fulfillment Center,61949,INT-CS4XGZU
1461,WH-01461,Dallas,Texas,Fulfillment Center,49291,INT-PFNGNAF
1462,WH-01462,Atlanta,Georgia,Regional DC,14077,INT-Y4M7ZOZ
1463,WH-01463,Phoenix,Arizona,Fulfillment Center,89291,INT-MSFWS9Z
1464,WH-01464,Phoenix,Arizona,Regional DC,25776,INT-JFBVYET
1465,WH-01465,Detroit,Michigan,Cross Dock,33649,INT-AJHI70S
1466,WH-01466,Seattle,Washington,Fulfillment Center,61260,INT-VOELPLM
1467,WH-01467,Boston,Massachusetts,Regional DC,46104,INT-LAP9SR4
1468,WH-01468,Boston,Massachusetts,Distribution Center,78587,INT-SY6Y0L0
1469,WH-01469,Boston,Massachusetts,Regional DC,27133,INT-RFYHUZW
1470,WH-01470,Austin,Texas,Fulfillment Center,88496,INT-E0D2R5P
1471,WH-01471,Chicago,Illinois,Distribution Center,82891,INT-OYC6ANV
1472,WH-01472,Boston,Massachusetts,Regional DC,61542,INT-QSRG7RZ
1473,WH-01473,Portland,Oregon,Distribution Center,32659,INT-KTXN6GU
1474,WH-01474,Charlotte,North Carolina,Regional DC,54204,INT-KTP7DKY
1475,WH-01475,Phoenix,Arizona,Cross Dock,33666,INT-9HXPVL0
1476,WH-01476,Portland,Oregon,Fulfillment Center,10401,INT-YHS7ABG
1477,WH-01477,Houston,Texas,Cross Dock,22494,INT-2RKNSI8
1478,WH-01478,Atlanta,Georgia,Distribution Center,89916,INT-C3TEEGQ
1479,WH-01479,Los Angeles,California,Distribution Center,81691,INT-6BVXWRC
1480,WH-01480,New York,New York,Fulfillment Center,26724,INT-KL96HL6
1481,WH-01481,Phoenix,Arizona,Regional DC,8269,INT-XG09X89
1482,WH-01482,Austin,Texas,Regional DC,68361,INT-PXSPLID
1483,WH-01483,Chicago,Illinois,Regional DC,91438,INT-9YGWQEH
1484,WH-01484,New York,New York,Distribution Center,13068,INT-NTAI3CW
1485,WH-01485,Chicago,Illinois,Distribution Center,95378,INT-2UTTAXX
1486,WH-01486,Denver,Colorado,Cross Dock,9172,INT-FI0MH4V
1487,WH-01487,Chicago,Illinois,Distribution Center,85437,INT-9F766N5
1488,WH-01488,Charlotte,North Carolina,Cross Dock,95777,INT-UOVVTO0
1489,WH-01489,Portland,Oregon,Distribution Center,44234,INT-2L148WN
1490,WH-01490,Portland,Oregon,Distribution Center,24027,INT-PU5MM65
1491,WH-01491,Los Angeles,California,Fulfillment Center,82538,INT-8CSBSI4
1492,WH-01492,Atlanta,Georgia,Distribution Center,24415,INT-GOJE0F6
1493,WH-01493,Miami,Florida,Cross Dock,46208,INT-A0DJNB3
1494,WH-01494,Dallas,Texas,Cross Dock,67875,INT-LEHMAA1
1495,WH-01495,Charlotte,North Carolina,Regional DC,15468,INT-WQXP2H2
1496,WH-01496,Dallas,Texas,Regional DC,63726,INT-T9CN1B9
1497,WH-01497,Phoenix,Arizona,Regional DC,51472,INT-KK4ZKRS
1498,WH-01498,Charlotte,North Carolina,Cross Dock,44186,INT-46L5YDZ
1499,WH-01499,Phoenix,Arizona,Cross Dock,42339,INT-CJVNXMB
1500,WH-01500,Portland,Oregon,Distribution Center,70994,INT-XAXTVN3
1501,WH-01501,Houston,Texas,Cross Dock,60845,INT-RERY37Q
1502,WH-01502,Los Angeles,California,Regional DC,96805,INT-3GW3ANJ
1503,WH-01503,Denver,Colorado,Regional DC,25064,INT-K7JZ3DX
1504,WH-01504,Boston,Massachusetts,Distribution Center,34581,INT-NGK034Q
1505,WH-01505,Charlotte,North Carolina,Regional DC,16505,INT-UMZ751O
1506,WH-01506,New York,New York,Fulfillment Center,78199,INT-VUYVTUN
1507,WH-01507,Phoenix,Arizona,Fulfillment Center,46674,INT-ZLP77TO
1508,WH-01508,Portland,Oregon,Fulfillment Center,54037,INT-NYCVNGN
1509,WH-01509,New York,New York,Cross Dock,44179,INT-WTI5PV0
1510,WH-01510,Portland,Oregon,Regional DC,94293,INT-4SUKFHC
1511,WH-01511,Los Angeles,California,Fulfillment Center,76623,INT-LUY6B6A
1512,WH-01512,Detroit,Michigan,Cross Dock,16937,INT-0TFT4SY
1513,WH-01513,Dallas,Texas,Regional DC,39369,INT-7RLUX7M
1514,WH-01514,Charlotte,North Carolina,Regional DC,31415,INT-6JZXA5K
1515,WH-01515,Denver,Colorado,Cross Dock,37413,INT-0464OYW
1516,WH-01516,Portland,Oregon,Regional DC,93147,INT-KHAB7WV
1517,WH-01517,Miami,Florida,Regional DC,5491,INT-OAXF0UC
1518,WH-01518,Chicago,Illinois,Regional DC,35178,INT-1T9POMT
1519,WH-01519,Phoenix,Arizona,Cross Dock,15705,INT-0WPAAFW
1520,WH-01520,Houston,Texas,Regional DC,90114,INT-H16ZWNY
1521,WH-01521,,Unknown,Regional DC,98949,INT-YT0S3EB
1522,WH-01522,Charlotte,North Carolina,Fulfillment Center,52625,INT-SVGPR1A
1523,WH-01523,Phoenix,Arizona,Distribution Center,82952,INT-R2EIUZ1
1524,WH-01524,Miami,Florida,Regional DC,23629,INT-7ZLLDW7
1525,WH-01525,Detroit,Michigan,Regional DC,44768,INT-Y3ZHZL4
1526,WH-01526,Chicago,Illinois,Regional DC,26890,INT-BN4UGYR
1527,WH-01527,Boston,Massachusetts,Regional DC,15416,INT-3XDLFBR
1528,WH-01528,Atlanta,Georgia,Regional DC,77268,INT-JBKLMGW
1529,WH-01529,Seattle,Washington,Regional DC,92457,INT-TZCKPTB
1530,WH-01530,Seattle,Washington,Fulfillment Center,14587,INT-WDKBKAX
1531,WH-01531,Dallas,Texas,Fulfillment Center,99226,INT-4M1Z6PE
1532,WH-01532,Phoenix,Arizona,Regional DC,44259,INT-9QA36XS
1533,WH-01533,Boston,Massachusetts,Distribution Center,35894,INT-IKV2325
1534,WH-01534,Austin,Texas,Regional DC,14224,INT-24XEKC9
1535,WH-01535,Chicago,Illinois,Cross Dock,16308,INT-TEO43OT
1536,WH-01536,Atlanta,Georgia,Distribution Center,99775,INT-EQQKI4A
1537,WH-01537,Atlanta,Georgia,Cross Dock,75612,INT-1D0BG4I
1538,WH-01538,Chicago,Illinois,Distribution Center,5133,INT-8UTWIGW
1539,WH-01539,Austin,Texas,Fulfillment Center,90628,INT-JHFFTO0
1540,WH-01540,Boston,Massachusetts,Fulfillment Center,30887,INT-Y1VO1VH
1541,WH-01541,Houston,Texas,Regional DC,46500,INT-8D2GGF0
1542,WH-01542,Boston,Massachusetts,Fulfillment Center,17783,INT-SR5JK7W
1543,WH-01543,Chicago,Illinois,Fulfillment Center,82772,INT-2YL6HDH
1544,WH-01544,Seattle,Washington,Regional DC,30462,INT-HZJ4U3H
1545,WH-01545,Seattle,Washington,Fulfillment Center,52169,INT-FL72EE3
1546,WH-01546,Chicago,Illinois,Fulfillment Center,13526,INT-ZYZ9ME5
1547,WH-01547,Chicago,Illinois,Distribution Center,88375,INT-NYG3A2W
1548,WH-01548,Phoenix,Arizona,Fulfillment Center,25029,INT-8XXFTTR
1549,WH-01549,,Unknown,Distribution Center,48975,INT-S6VH139
1550,WH-01550,Atlanta,Georgia,Regional DC,33167,INT-C31SNN4
1551,WH-01551,Charlotte,North Carolina,Fulfillment Center,23804,INT-0DHNL4U
1552,WH-01552,Phoenix,Arizona,Fulfillment Center,54283,INT-H5S366Q
1553,WH-01553,Denver,Colorado,Fulfillment Center,15566,INT-TQJ35ST
1554,WH-01554,Los Angeles,California,Fulfillment Center,90786,INT-YY5FLHE
1555,WH-01555,Los Angeles,California,Cross Dock,80974,INT-T362FSL
1556,WH-01556,New York,New York,Fulfillment Center,17181,INT-W9IGLV6
1557,WH-01557,Boston,Massachusetts,Regional DC,44745,INT-TX8YD9O
1558,WH-01558,New York,New York,Regional DC,14537,INT-A175VPV
1559,WH-01559,Portland,Oregon,Distribution Center,48547,INT-DQDAH60
1560,WH-01560,Chicago,Illinois,Regional DC,28951,INT-OOLVHBK
1561,WH-01561,Detroit,Michigan,Distribution Center,84816,INT-BHDGCVV
1562,WH-01562,Charlotte,North Carolina,Distribution Center,34029,INT-M3YJZ5Z
1563,WH-01563,Portland,Oregon,Cross Dock,89171,INT-MI40EX4
1564,WH-01564,Boston,Massachusetts,Regional DC,16954,INT-7X9GHPG
1565,WH-01565,Detroit,Michigan,Fulfillment Center,97768,INT-PLHECME
1566,WH-01566,Miami,Florida,Regional DC,68880,INT-XGXQQPI
1567,WH-01567,Detroit,Michigan,Cross Dock,28805,INT-4SMOGL0
1568,WH-01568,Detroit,Michigan,Distribution Center,53182,INT-8RJ9ETN
1569,WH-01569,Denver,Colorado,Regional DC,37078,INT-WIMN1H1
1570,WH-01570,Detroit,Michigan,Fulfillment Center,61712,INT-4TP7GC9
1571,WH-01571,Boston,Massachusetts,Fulfillment Center,71234,INT-8FOU243
1572,WH-01572,Chicago,Illinois,Distribution Center,25356,INT-PEBWXBZ
1573,WH-01573,Phoenix,Arizona,Cross Dock,77571,INT-BMYV0CV
1574,WH-01574,Houston,Texas,Fulfillment Center,59857,INT-DDWXADX
1575,WH-01575,New York,New York,Fulfillment Center,79517,INT-OYH99EC
1576,WH-01576,Seattle,Washington,Fulfillment Center,7479,INT-GNH5FB3
1577,WH-01577,Dallas,Texas,Regional DC,58577,INT-PFXDMTM
1578,WH-01578,New York,New York,Distribution Center,83637,INT-UEC21JV
1579,WH-01579,HOUSTON,Unknown,Distribution Center,19864,INT-DAIV4RT
1580,WH-01580,Detroit,Michigan,Cross Dock,37712,INT-3XHAJPT
1581,WH-01581,Boston,Massachusetts,Regional DC,46383,INT-ONY1JU4
1582,WH-01582,Phoenix,Arizona,Cross Dock,49141,INT-MX6NHIF
1583,WH-01583,Charlotte,North Carolina,Distribution Center,8691,INT-NAZDE20
